782891,USA,PACL,45,22
132486,IRQ,FAIL,32,19
335197,IND,DIST,87,18
221563,AFG,DIST,80,21
752113,PAK,PACL,41,19
990171,IND,FAIL,20,20
574878,IND,FAIL,14,22
900217,RSA,FAIL,17,19
774597,AFG,FAIL,32,19
940333,EGY,FAIL,30,20
839763,GBR,FICL,69,22
180049,IRQ,FAIL,6,21
754265,IRQ,FAIL,34,20
32497,RSA,DIST,78,19
724733,IRQ,DIST,73,20
543278,AFG,DIST,70,19
996522,RSA,PACL,46,18
588558,IRQ,SECL,50,22
451342,EGY,DIST,71,18
490649,AFG,FICL,66,21
65933,EGY,PACL,46,19
261412,EGY,DIST,92,19
44587,USA,FAIL,16,19
676106,PAK,FAIL,29,22
723919,GBR,FICL,69,22
743849,IRQ,FICL,66,19
183979,AFG,SECL,53,20
313846,PAK,DIST,85,20
240638,IND,FAIL,34,20
377231,IND,FAIL,7,19
231998,GBR,SECL,52,19
323903,RSA,DIST,80,18
466677,PAK,DIST,98,21
768704,RSA,FICL,66,19
36350,USA,DIST,96,20
691753,PAK,DIST,98,21
959962,USA,FAIL,23,18
341308,AFG,DIST,76,19
937542,PAK,DIST,94,22
157093,AFG,DIST,84,21
619764,USA,FICL,67,22
371845,EGY,DIST,96,19
192158,FRA,DIST,80,18
319216,IND,DIST,78,20
678611,AUS,DIST,85,22
471900,IND,DIST,98,21
510724,IND,FAIL,16,19
807886,IRQ,PACL,46,22
705317,EGY,FAIL,10,21
181622,RSA,FAIL,4,21
529616,USA,FAIL,18,19
89662,PAK,PACL,44,18
222346,RSA,PACL,42,21
786045,GBR,FAIL,9,22
241415,IRQ,FICL,64,19
293510,RSA,DIST,85,19
991197,FRA,FAIL,25,18
39021,IRQ,DIST,78,18
137804,AUS,FAIL,4,21
849944,GBR,DIST,91,18
639608,EGY,DIST,90,21
478793,AUS,DIST,77,20
530162,IND,FAIL,18,19
19670,RSA,DIST,96,22
419958,USA,SECL,51,21
102921,PAK,PACL,41,19
20040,IND,DIST,73,22
501104,PAK,FAIL,32,19
219151,AUS,DIST,90,19
118348,USA,FAIL,2,21
725788,IRQ,SECL,57,19
539810,RSA,DIST,100,20
417007,GBR,SECL,50,18
374041,FRA,DIST,93,20
934163,FRA,FAIL,23,20
544457,IND,FAIL,0,19
504250,RSA,PACL,41,22
501568,FRA,DIST,86,19
997757,GBR,FAIL,39,22
12644,EGY,FAIL,27,20
346637,PAK,DIST,96,20
823990,FRA,FAIL,18,19
37278,GBR,SECL,50,20
47244,IRQ,FAIL,8,21
411805,IRQ,DIST,77,20
857876,EGY,FAIL,30,19
403204,AFG,DIST,79,20
260081,IND,SECL,54,20
746840,FRA,DIST,91,22
663194,AFG,DIST,80,19
693321,AFG,DIST,82,18
801394,EGY,DIST,92,21
349900,RSA,FAIL,29,20
127929,USA,PACL,41,21
957413,AFG,FAIL,34,22
722883,IRQ,DIST,87,21
158213,FRA,FAIL,4,20
647473,IRQ,PACL,44,20
375341,EGY,FAIL,38,22
874903,AUS,FICL,62,20
456401,PAK,FAIL,7,18
334803,USA,DIST,95,19
163053,USA,SECL,57,19
597390,AFG,FAIL,2,21
689718,EGY,FAIL,11,19
229474,RSA,FAIL,16,20
397286,AUS,FICL,66,22
261416,IND,FAIL,12,19
572419,IRQ,FAIL,1,22
944088,AFG,FAIL,6,19
349426,EGY,FAIL,28,21
951692,GBR,FAIL,10,19
272050,EGY,DIST,89,22
281219,AUS,PACL,48,22
161409,EGY,FAIL,39,21
462643,PAK,FAIL,29,22
166727,FRA,DIST,86,22
680978,IND,DIST,71,19
134251,USA,FAIL,0,21
349403,IND,FICL,64,18
432492,IRQ,FAIL,37,18
621662,USA,FICL,60,21
368146,AFG,FAIL,22,19
9545,GBR,FICL,66,22
930225,AFG,FAIL,0,20
254193,FRA,FAIL,30,22
938888,FRA,FAIL,34,20
41976,AFG,FAIL,34,20
918885,USA,FAIL,36,18
730288,FRA,FAIL,38,19
787009,AUS,FAIL,17,22
612173,RSA,DIST,99,20
457819,USA,FAIL,28,18
540892,EGY,FAIL,13,22
269693,FRA,FAIL,2,20
243816,AUS,FAIL,2,18
830310,GBR,FICL,64,22
744362,AUS,FAIL,23,19
885823,USA,FAIL,28,20
218544,AFG,FICL,64,22
522612,PAK,DIST,94,19
184697,RSA,DIST,97,22
624634,GBR,FAIL,12,21
927779,IRQ,SECL,57,18
80575,EGY,FICL,66,19
268373,FRA,DIST,78,18
102116,EGY,SECL,53,18
126878,FRA,FAIL,38,21
45046,PAK,DIST,78,21
393877,PAK,FAIL,8,20
634944,USA,FAIL,14,19
370811,IRQ,SECL,58,21
727028,FRA,DIST,100,22
785721,EGY,FAIL,11,19
943789,IND,DIST,88,20
756165,IRQ,DIST,82,20
893341,AUS,FAIL,5,18
982764,RSA,FAIL,3,20
309388,AFG,DIST,77,20
631878,AFG,DIST,90,18
142669,IND,FAIL,30,18
653525,AFG,FAIL,37,22
99052,EGY,FAIL,13,21
305187,FRA,SECL,55,22
617468,AUS,DIST,84,19
985917,IRQ,DIST,94,22
800671,PAK,DIST,70,20
